message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,unknown,"Could not determine a strong intent, so it was deferred to the digest.",0.65,message_0243;message_0102;message_0101
msg_091,mute,scam,"Message asks for an OTP or login code after prompting a reply, which looks like a scam.",0.99,message_0238;message_0320;message_0047
msg_090,digest,unknown,"Could not determine a strong intent, so it was deferred to the digest.",0.65,message_0339;message_0338
msg_048,digest,payment,"Forwarded payment content without provenance, batched for later review.",0.60,message_0151;message_0030;message_0043
msg_040,mute,spam,"Chain-forward or prize-claim language typical of spam, so it was muted.",0.90,message_0136;message_0104;message_0135
msg_075,digest,unknown,"Could not determine a strong intent, so it was deferred to the digest.",0.65,message_0206;message_0205;message_0294
msg_005,notify,urgent,Time-sensitive request that should interrupt the user.,0.90,message_0065;message_0049;message_0382
msg_104,notify,urgent,Time-sensitive request that should interrupt the user.,0.90,message_0224;message_0050;message_0383
msg_069,mute,greeting,"Forwarded greeting with no personal value, so it was muted.",0.80,message_0080;message_0177;message_0193
msg_107,mute,forward,"Widely forwarded content with no personal relevance, so it was muted.",0.85,message_0056;message_0085;message_0195
msg_070,mute,scam,"Message asks for an OTP or login code after prompting a reply, which looks like a scam.",0.99,message_0369;message_0056;message_0085
msg_003,notify,business_update,Delivery or order update from a verified business that matches recent activity.,0.85,message_0031;message_0400;message_0061
msg_099,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0227;message_0249;message_0055
msg_008,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0296;message_0071;message_0072
msg_092,notify,payment,Payment message from a known relationship that should be acted on now.,0.88,message_0346;message_0344;message_0345
msg_060,digest,promotion,"Promotional content from a followed sender, safe to batch for later.",0.75,message_0284;message_0176;message_0375
msg_004,notify,event,Time-sensitive event update from a verified sender that the user needs now.,0.85,message_0005;message_0245;message_0246
msg_030,mute,promotion,Promotional post inside a group the user has muted.,0.85,message_0115;message_0335;message_0050
msg_045,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0061;message_0027;message_0062
msg_052,digest,payment,"Forwarded payment content without provenance, batched for later review.",0.60,message_0208;message_0207;message_0159
msg_009,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0074;message_0032;message_0073
msg_071,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0197
msg_016,mute,scam,"Message carries a suspicious link with claim-or-verify language, so it was muted as a scam.",0.99,message_0024;message_0147;message_0087
msg_065,digest,promotion,"Promotional content from a followed sender, safe to batch for later.",0.75,message_0260;message_0261;message_0032
msg_038,notify,event,Same-day event update with a deadline that the user needs now.,0.85,message_0131;message_0082;message_0132
msg_086,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,none
msg_014,mute,promotion,Promotional message from a business the user opted out of.,0.90,message_0017;message_0018;message_0258
msg_094,mute,promotion,Promotional content the user repeatedly reported and dismissed.,0.80,message_0356;message_0048;message_0223
msg_029,digest,promotion,"Promotional content from a followed sender, safe to batch for later.",0.75,message_0095;message_0113;message_0332
msg_105,mute,forward,"Widely forwarded content with no personal relevance, so it was muted.",0.85,message_0233;message_0373;message_0121
msg_002,notify,payment,Payment message from a known relationship that should be acted on now.,0.88,message_0003;message_0059;message_0169
msg_010,digest,business_update,"Non-critical business update, safe to batch for later.",0.75,message_0011;message_0242;message_0075
msg_078,notify,event,Same-day event update with a deadline that the user needs now.,0.85,message_0220;message_0163;message_0204
msg_013,notify,payment,Payment message from a known relationship that should be acted on now.,0.88,message_0081
msg_018,notify,event,Same-day event update with a deadline that the user needs now.,0.85,message_0026;message_0011;message_0075
msg_044,mute,forward,"Widely forwarded content with no personal relevance, so it was muted.",0.85,message_0143;message_0222;message_0228
msg_032,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0119;message_0285;message_0175
msg_106,notify,event,Same-day event update with a deadline that the user needs now.,0.85,message_0234;message_0376;message_0206
msg_006,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0029;message_0044;message_0067
msg_109,notify,payment,Payment message from a known relationship that should be acted on now.,0.88,message_0151;message_0030;message_0067
msg_108,notify,urgent,Time-sensitive request that should interrupt the user.,0.90,message_0094;message_0093;message_0275
msg_019,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0277;message_0275;message_0276
msg_088,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,none
msg_056,notify,urgent,Direct mention of the user with a real deadline that needs attention now.,0.90,message_0217;message_0226;message_0359
msg_027,digest,promotion,"Promotional content from a followed sender, safe to batch for later.",0.75,message_0007;message_0033;message_0272
msg_050,digest,event,"Event update without immediate time pressure, safe to batch for later.",0.75,message_0278;message_0279;message_0155
msg_083,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,none
msg_063,notify,payment,Payment message from a known relationship that should be acted on now.,0.88,message_0364;message_0254;message_0255
msg_033,digest,greeting,Routine greeting that can wait for later.,0.70,message_0121;message_0372;message_0278
msg_061,mute,greeting,"Forwarded greeting with no personal value, so it was muted.",0.80,message_0080;message_0177;message_0193
msg_020,notify,event,Same-day event update with a deadline that the user needs now.,0.85,message_0049;message_0096;message_0114
msg_017,notify,payment,Payment message from a known relationship that should be acted on now.,0.88,message_0319;message_0089;message_0090
msg_058,mute,forward,"Widely forwarded content with no personal relevance, so it was muted.",0.85,message_0039;message_0040;message_0241
msg_026,digest,business_update,"Non-critical business update, safe to batch for later.",0.75,message_0032;message_0107;message_0260
msg_047,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0001;message_0271;message_0030
msg_046,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0148;message_0024;message_0251
msg_042,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0058;message_0140;message_0217
msg_079,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0369;message_0221;message_0023
msg_098,notify,event,Same-day event update with a deadline that the user needs now.,0.85,message_0226;message_0004;message_0239
msg_037,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0001;message_0410
msg_007,digest,personal,Ordinary personal chat with no direct mention or urgency.,0.75,message_0275;message_0276;message_0277
